files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/non-duplicates/744_a.jpg /home/falkor/source/idhash/non-duplicates/744_b.jpg 20 51 35.79 39.09 6.25 17.47
/home/falkor/source/idhash/non-duplicates/745_a.jpg /home/falkor/source/idhash/non-duplicates/745_b.jpg 17 48 35.53 38.47 6.20 17.46
/home/falkor/source/idhash/non-duplicates/746_a.jpg /home/falkor/source/idhash/non-duplicates/746_b.jpg 21 60 41.10 46.07 6.79 16.51
/home/falkor/source/idhash/non-duplicates/747_a.jpg /home/falkor/source/idhash/non-duplicates/747_b.jpg 9 44 31.21 37.71 6.14 19.67
/home/falkor/source/idhash/non-duplicates/748_a.jpg /home/falkor/source/idhash/non-duplicates/748_b.jpg 24 56 41.24 37.00 6.08 14.75
/home/falkor/source/idhash/non-duplicates/749_a.jpg /home/falkor/source/idhash/non-duplicates/749_b.jpg 21 51 37.16 37.89 6.16 16.57
/home/falkor/source/idhash/non-duplicates/750_a.jpg /home/falkor/source/idhash/non-duplicates/750_b.jpg 20 58 40.42 45.40 6.74 16.67
/home/falkor/source/idhash/non-duplicates/751_a.jpg /home/falkor/source/idhash/non-duplicates/751_b.jpg 18 45 33.87 38.99 6.24 18.44
/home/falkor/source/idhash/non-duplicates/752_a.jpg /home/falkor/source/idhash/non-duplicates/752_b.jpg 22 51 36.56 37.95 6.16 16.85
/home/falkor/source/idhash/non-duplicates/753_a.jpg /home/falkor/source/idhash/non-duplicates/753_b.jpg 9 45 30.57 42.05 6.48 21.21
/home/falkor/source/idhash/non-duplicates/754_a.jpg /home/falkor/source/idhash/non-duplicates/754_b.jpg 18 52 36.22 39.33 6.27 17.31
/home/falkor/source/idhash/non-duplicates/755_a.jpg /home/falkor/source/idhash/non-duplicates/755_b.jpg 16 48 36.04 38.54 6.21 17.23
/home/falkor/source/idhash/non-duplicates/756_a.jpg /home/falkor/source/idhash/non-duplicates/756_b.jpg 22 52 36.69 33.75 5.81 15.83
/home/falkor/source/idhash/non-duplicates/757_a.jpg /home/falkor/source/idhash/non-duplicates/757_b.jpg 29 53 42.51 35.05 5.92 13.93
/home/falkor/source/idhash/non-duplicates/758_a.jpg /home/falkor/source/idhash/non-duplicates/758_b.jpg 19 49 33.63 36.07 6.01 17.86
/home/falkor/source/idhash/non-duplicates/759_a.jpg /home/falkor/source/idhash/non-duplicates/759_b.jpg 22 53 35.53 36.97 6.08 17.11
/home/falkor/source/idhash/non-duplicates/760_a.jpg /home/falkor/source/idhash/non-duplicates/760_b.jpg 20 49 36.47 31.91 5.65 15.49
/home/falkor/source/idhash/non-duplicates/761_a.jpg /home/falkor/source/idhash/non-duplicates/761_b.jpg 16 48 31.34 34.68 5.89 18.79
/home/falkor/source/idhash/non-duplicates/762_a.jpg /home/falkor/source/idhash/non-duplicates/762_b.jpg 15 47 32.88 42.33 6.51 19.79
/home/falkor/source/idhash/non-duplicates/763_a.jpg /home/falkor/source/idhash/non-duplicates/763_b.jpg 22 53 38.55 39.47 6.28 16.30
/home/falkor/source/idhash/non-duplicates/764_a.jpg /home/falkor/source/idhash/non-duplicates/764_b.jpg 27 58 42.55 38.55 6.21 14.59
/home/falkor/source/idhash/non-duplicates/765_a.jpg /home/falkor/source/idhash/non-duplicates/765_b.jpg 23 56 40.26 38.13 6.18 15.34
/home/falkor/source/idhash/non-duplicates/766_a.jpg /home/falkor/source/idhash/non-duplicates/766_b.jpg 10 45 29.29 35.35 5.95 20.30
/home/falkor/source/idhash/non-duplicates/767_a.jpg /home/falkor/source/idhash/non-duplicates/767_b.jpg 24 60 43.98 40.44 6.36 14.46
/home/falkor/source/idhash/non-duplicates/768_a.jpg /home/falkor/source/idhash/non-duplicates/768_b.jpg 23 45 33.03 25.41 5.04 15.26
/home/falkor/source/idhash/non-duplicates/769_a.jpg /home/falkor/source/idhash/non-duplicates/769_b.jpg 21 50 36.51 29.49 5.43 14.87
/home/falkor/source/idhash/non-duplicates/770_a.jpg /home/falkor/source/idhash/non-duplicates/770_b.jpg 22 55 36.48 37.67 6.14 16.82
/home/falkor/source/idhash/non-duplicates/771_a.jpg /home/falkor/source/idhash/non-duplicates/771_b.jpg 17 50 37.31 32.29 5.68 15.23
/home/falkor/source/idhash/non-duplicates/772_a.jpg /home/falkor/source/idhash/non-duplicates/772_b.jpg 16 48 37.13 42.49 6.52 17.56
/home/falkor/source/idhash/non-duplicates/773_a.jpg /home/falkor/source/idhash/non-duplicates/773_b.jpg 16 47 35.42 33.72 5.81 16.40
/home/falkor/source/idhash/non-duplicates/774_a.jpg /home/falkor/source/idhash/non-duplicates/774_b.jpg 15 45 35.25 36.91 6.08 17.23
/home/falkor/source/idhash/non-duplicates/775_a.jpg /home/falkor/source/idhash/non-duplicates/775_b.jpg 17 44 31.33 34.00 5.83 18.61
/home/falkor/source/idhash/non-duplicates/776_a.jpg /home/falkor/source/idhash/non-duplicates/776_b.jpg 15 51 33.28 55.06 7.42 22.30
/home/falkor/source/idhash/non-duplicates/777_a.jpg /home/falkor/source/idhash/non-duplicates/777_b.jpg 21 51 36.40 36.74 6.06 16.65
/home/falkor/source/idhash/non-duplicates/778_a.jpg /home/falkor/source/idhash/non-duplicates/778_b.jpg 12 47 33.79 44.23 6.65 19.68
/home/falkor/source/idhash/non-duplicates/779_a.jpg /home/falkor/source/idhash/non-duplicates/779_b.jpg 14 39 29.39 31.04 5.57 18.96
