files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/duplicates/114_a.jpg /home/falkor/source/idhash/duplicates/114_b.jpg 3 40 24.92 65.49 8.09 32.48
/home/falkor/source/idhash/duplicates/115_a.jpg /home/falkor/source/idhash/duplicates/115_b.jpg 3 37 22.11 44.80 6.69 30.27
/home/falkor/source/idhash/duplicates/116_a.jpg /home/falkor/source/idhash/duplicates/116_b.jpg 10 36 23.95 42.77 6.54 27.31
/home/falkor/source/idhash/duplicates/117_a.jpg /home/falkor/source/idhash/duplicates/117_b.jpg 9 39 24.46 54.49 7.38 30.18
/home/falkor/source/idhash/duplicates/118_a.jpg /home/falkor/source/idhash/duplicates/118_b.jpg 2 37 23.04 42.20 6.50 28.19
/home/falkor/source/idhash/duplicates/119_a.jpg /home/falkor/source/idhash/duplicates/119_b.jpg 0 45 24.75 67.67 8.23 33.24
/home/falkor/source/idhash/duplicates/120_a.jpg /home/falkor/source/idhash/duplicates/120_b.jpg 7 35 21.87 37.71 6.14 28.08
/home/falkor/source/idhash/duplicates/121_a.jpg /home/falkor/source/idhash/duplicates/121_b.jpg 4 36 21.96 51.96 7.21 32.82
/home/falkor/source/idhash/duplicates/122_a.jpg /home/falkor/source/idhash/duplicates/122_b.jpg 3 41 24.21 46.27 6.80 28.10
/home/falkor/source/idhash/duplicates/123_a.jpg /home/falkor/source/idhash/duplicates/123_b.jpg 4 41 24.23 52.36 7.24 29.86
/home/falkor/source/idhash/duplicates/124_a.jpg /home/falkor/source/idhash/duplicates/124_b.jpg 0 40 23.18 74.39 8.62 37.21
/home/falkor/source/idhash/duplicates/125_a.jpg /home/falkor/source/idhash/duplicates/125_b.jpg 11 34 22.81 33.53 5.79 25.39
/home/falkor/source/idhash/duplicates/126_a.jpg /home/falkor/source/idhash/duplicates/126_b.jpg 9 39 23.38 44.00 6.63 28.37
/home/falkor/source/idhash/duplicates/127_a.jpg /home/falkor/source/idhash/duplicates/127_b.jpg 0 37 20.21 57.59 7.59 37.55
/home/falkor/source/idhash/duplicates/128_a.jpg /home/falkor/source/idhash/duplicates/128_b.jpg 4 43 23.60 53.16 7.29 30.89
/home/falkor/source/idhash/duplicates/129_a.jpg /home/falkor/source/idhash/duplicates/129_b.jpg 8 40 24.21 50.23 7.09 29.27
/home/falkor/source/idhash/duplicates/130_a.jpg /home/falkor/source/idhash/duplicates/130_b.jpg 7 35 21.56 45.89 6.77 31.42
/home/falkor/source/idhash/duplicates/131_a.jpg /home/falkor/source/idhash/duplicates/131_b.jpg 3 36 19.30 48.57 6.97 36.11
/home/falkor/source/idhash/duplicates/132_a.jpg /home/falkor/source/idhash/duplicates/132_b.jpg 6 39 23.13 47.21 6.87 29.71
/home/falkor/source/idhash/duplicates/133_a.jpg /home/falkor/source/idhash/duplicates/133_b.jpg 6 40 23.51 52.31 7.23 30.76
/home/falkor/source/idhash/duplicates/134_a.jpg /home/falkor/source/idhash/duplicates/134_b.jpg 5 35 23.63 45.35 6.73 28.50
/home/falkor/source/idhash/duplicates/135_a.jpg /home/falkor/source/idhash/duplicates/135_b.jpg 2 42 24.06 58.98 7.68 31.92
/home/falkor/source/idhash/duplicates/136_a.jpg /home/falkor/source/idhash/duplicates/136_b.jpg 4 39 24.78 43.43 6.59 26.60
/home/falkor/source/idhash/duplicates/137_a.jpg /home/falkor/source/idhash/duplicates/137_b.jpg 9 39 23.83 46.04 6.79 28.47
/home/falkor/source/idhash/duplicates/138_a.jpg /home/falkor/source/idhash/duplicates/138_b.jpg 2 38 22.39 52.30 7.23 32.30
/home/falkor/source/idhash/duplicates/139_a.jpg /home/falkor/source/idhash/duplicates/139_b.jpg 2 36 20.73 51.68 7.19 34.68
/home/falkor/source/idhash/duplicates/140_a.jpg /home/falkor/source/idhash/duplicates/140_b.jpg 1 39 20.83 52.78 7.27 34.88
/home/falkor/source/idhash/duplicates/141_a.jpg /home/falkor/source/idhash/duplicates/141_b.jpg 3 36 23.32 42.98 6.56 28.11
/home/falkor/source/idhash/duplicates/142_a.jpg /home/falkor/source/idhash/duplicates/142_b.jpg 8 38 22.53 39.47 6.28 27.88
